filename,width,height,class,xmin,ymin,xmax,ymax
Movie-on-07-03-25-at-9_21-PM_mov-0044_jpg.rf.141113bc7d1e5fe65ab390b74ce6ace5.jpg,640,640,mobile phone,254,223,302,488
Movie-on-07-03-25-at-9_21-PM_mov-0018_jpg.rf.01c76845380dfe6e58e7bad0c400fef9.jpg,640,640,mobile phone,261,227,300,478
Movie-on-07-03-25-at-9_21-PM_mov-0096_jpg.rf.0b31cd182d8ad4e0b4ef7620273d2e0c.jpg,640,640,mobile phone,234,566,462,639

Movie-on-07-03-25-at-9_21-PM_mov-0005_jpg.rf.062369115b166a74c0c50c6fbb066e96.jpg,640,640,mobile phone,266,237,328,494
Movie-on-07-03-25-at-9_21-PM_mov-0054_jpg.rf.20395aab025b3250909d5fa68d713893.jpg,640,640,mobile phone,259,204,412,608
Movie-on-07-03-25-at-9_21-PM_mov-0019_jpg.rf.0f7efb2b85405c17cfe41f9c23817191.jpg,640,640,mobile phone,260,227,297,477
Movie-on-07-03-25-at-9_21-PM_mov-0080_jpg.rf.176b60e095635091948d9e33235cc303.jpg,640,640,mobile phone,180,253,249,446

Movie-on-07-03-25-at-9_21-PM_mov-0118_jpg.rf.257b6d1140ba4068a5d119d3f23fd267.jpg,640,640,mobile phone,0,477,23,631
Movie-on-07-03-25-at-9_21-PM_mov-0016_jpg.rf.368d9e70682ee3a11be758b29f908617.jpg,640,640,mobile phone,264,224,305,482
Movie-on-07-03-25-at-9_21-PM_mov-0030_jpg.rf.13df91df5c2313143e6ccc405d9fbe2c.jpg,640,640,mobile phone,248,226,346,489
Movie-on-07-03-25-at-9_21-PM_mov-0087_jpg.rf.1551ed772e110c2c9f09843dd8ce2ece.jpg,640,640,mobile phone,189,214,260,415
Movie-on-07-03-25-at-9_21-PM_mov-0026_jpg.rf.02b390671e952dc4f3d728e89aec7da0.jpg,640,640,mobile phone,256,219,294,466
Movie-on-07-03-25-at-9_21-PM_mov-0092_jpg.rf.08c9d4a895d575d06d2974b92f460af1.jpg,640,640,mobile phone,229,226,333,446
Movie-on-07-03-25-at-9_21-PM_mov-0052_jpg.rf.2bfe930fb7f8858ac7bfc9acb4929bd3.jpg,640,640,mobile phone,251,221,297,481
Movie-on-07-03-25-at-9_21-PM_mov-0062_jpg.rf.2e945056838c655a242d0a6276ef242b.jpg,640,640,mobile phone,253,210,316,455
Movie-on-07-03-25-at-9_21-PM_mov-0119_jpg.rf.29095084ee8197fadf7b9865106b8200.jpg,640,640,mobile phone,551,557,639,639

Movie-on-07-03-25-at-9_21-PM_mov-0046_jpg.rf.0756acfed5493c41ced19befd8bea62e.jpg,640,640,mobile phone,254,224,296,486
Movie-on-07-03-25-at-9_21-PM_mov-0068_jpg.rf.3822d6a87fcf18bd639ac865536e8050.jpg,640,640,mobile phone,248,222,303,476

Movie-on-07-03-25-at-9_21-PM_mov-0072_jpg.rf.43d4a3f8d9a69591f5a394d0cde51697.jpg,640,640,mobile phone,228,225,295,462
Movie-on-07-03-25-at-9_21-PM_mov-0048_jpg.rf.4e172fb060dfa56b6960e0bba7aa941b.jpg,640,640,mobile phone,259,224,300,490
Movie-on-07-03-25-at-9_21-PM_mov-0039_jpg.rf.23464edfd703ce31604510125a9d2f69.jpg,640,640,mobile phone,243,232,313,482
Movie-on-07-03-25-at-9_21-PM_mov-0031_jpg.rf.4a0b89c81881c376d23594ecc5f41390.jpg,640,640,mobile phone,257,230,327,492
Movie-on-07-03-25-at-9_21-PM_mov-0015_jpg.rf.6123fc66022b98447d68056347664919.jpg,640,640,mobile phone,258,227,296,476
Movie-on-07-03-25-at-9_21-PM_mov-0033_jpg.rf.38bb6aa6f6f0b460f7d920fcf7f6f1fd.jpg,640,640,mobile phone,252,230,292,477
Movie-on-07-03-25-at-9_21-PM_mov-0074_jpg.rf.3cbec10e445d1d2fc3664d4c23ff88ad.jpg,640,640,mobile phone,240,224,290,477
Movie-on-07-03-25-at-9_21-PM_mov-0104_jpg.rf.4c3f2df690ff1956f8272d04ade565cd.jpg,640,640,mobile phone,41,296,276,638
Movie-on-07-03-25-at-9_21-PM_mov-0060_jpg.rf.3597d37b937b87b99686d8dd2a1581e5.jpg,640,640,mobile phone,227,208,302,479
Movie-on-07-03-25-at-9_21-PM_mov-0088_jpg.rf.3246f13cbbaaf503800b94d0dc5e0c25.jpg,640,640,mobile phone,194,210,269,418

Movie-on-07-03-25-at-9_21-PM_mov-0022_jpg.rf.4e30b5d3cbba8256776cd339f4f4214a.jpg,640,640,mobile phone,255,221,294,468
Movie-on-07-03-25-at-9_21-PM_mov-0007_jpg.rf.4ed4d033875771fcc53bf92a26e76e06.jpg,640,640,mobile phone,256,239,302,451
Movie-on-07-03-25-at-9_21-PM_mov-0017_jpg.rf.60892e61ec82fc43a4a6c2e0aa30af20.jpg,640,640,mobile phone,263,225,306,480
Movie-on-07-03-25-at-9_21-PM_mov-0082_jpg.rf.4e8799795243a7a39831916c823ca1c6.jpg,640,640,mobile phone,184,205,255,448


Movie-on-07-03-25-at-9_21-PM_mov-0041_jpg.rf.4e72e434a06d0ada539c51009197731f.jpg,640,640,mobile phone,244,230,290,479
Movie-on-07-03-25-at-9_21-PM_mov-0075_jpg.rf.3e2719c8a20838c3ef2f4cab3c588ade.jpg,640,640,mobile phone,235,223,281,467

Movie-on-07-03-25-at-9_21-PM_mov-0107_jpg.rf.37520f9490df943e08efe8b47d41dc0a.jpg,640,640,mobile phone,81,461,318,638

Movie-on-07-03-25-at-9_21-PM_mov-0014_jpg.rf.50e3f59cd58a5d561f7777c6434d631f.jpg,640,640,mobile phone,266,218,303,476

Movie-on-07-03-25-at-9_21-PM_mov-0108_jpg.rf.62971e706ef1ee1004be076ebf3c16d7.jpg,640,640,mobile phone,71,425,308,639
Movie-on-07-03-25-at-9_21-PM_mov-0055_jpg.rf.68f4d61c90358883189c92026a44f1e1.jpg,640,640,mobile phone,218,223,288,467

Movie-on-07-03-25-at-9_21-PM_mov-0049_jpg.rf.6379e9581ad61a6f1a7eb2ea516b9b02.jpg,640,640,mobile phone,256,224,296,441
Movie-on-07-03-25-at-9_21-PM_mov-0089_jpg.rf.62d2e17c09b56f9dc15de0441f1479c3.jpg,640,640,mobile phone,229,218,257,442
Movie-on-07-03-25-at-9_21-PM_mov-0106_jpg.rf.7ea210ffb53a407695e8d20994f0e32c.jpg,640,640,mobile phone,76,467,317,638

Movie-on-07-03-25-at-9_21-PM_mov-0013_jpg.rf.7950cbb0fa31a23169b81a884ce07c26.jpg,640,640,mobile phone,256,222,285,461
Movie-on-07-03-25-at-9_21-PM_mov-0010_jpg.rf.78ad1e408350fb0b33c615e2dd57cfaf.jpg,640,640,mobile phone,256,227,293,470
Movie-on-07-03-25-at-9_21-PM_mov-0070_jpg.rf.913a079523152c6bee56da9b4a4da03c.jpg,640,640,mobile phone,108,216,276,361
Movie-on-07-03-25-at-9_21-PM_mov-0071_jpg.rf.7825b4e0971ba7ac0442e6aec3f33b34.jpg,640,640,mobile phone,206,222,271,446
Movie-on-07-03-25-at-9_21-PM_mov-0112_jpg.rf.6df21c84abf47dfa732943bf93503311.jpg,640,640,mobile phone,130,301,297,636
Movie-on-07-03-25-at-9_21-PM_mov-0032_jpg.rf.9033202eff863d2e11e862147815bfc9.jpg,640,640,mobile phone,258,228,306,490
Movie-on-07-03-25-at-9_21-PM_mov-0094_jpg.rf.954043196c4add538bb21c7261669ea5.jpg,640,640,mobile phone,228,214,286,483
Movie-on-07-03-25-at-9_21-PM_mov-0057_jpg.rf.64148b35d037a4c5e307c9c5b21b4fbe.jpg,640,640,mobile phone,235,219,298,434
Movie-on-07-03-25-at-9_21-PM_mov-0036_jpg.rf.7ced23e43c287425ab2a20892fa1dd2b.jpg,640,640,mobile phone,255,232,282,486
Movie-on-07-03-25-at-9_21-PM_mov-0040_jpg.rf.77fb96e7dfdca18a7f8233cdcdabdf24.jpg,640,640,mobile phone,246,234,281,481
Movie-on-07-03-25-at-9_21-PM_mov-0012_jpg.rf.8b0adb5f117e97eb9689f41d3942a27b.jpg,640,640,mobile phone,260,223,290,466
Movie-on-07-03-25-at-9_21-PM_mov-0101_jpg.rf.927cbcde9b95dbcd3a07dd7ef1e12fe8.jpg,640,640,mobile phone,173,537,386,639
